ROUTE_ID,ROUTE_SEQ,STOP_SEQ,STOP_ID,STOP_PICK_DROP,STOP_NAMEC,STOP_NAMES,STOP_NAMEE,LAST_UPDATE_DATE,ROUTE_NAMEC,Longitude,Latitude,COMPANY_CODE
1008,1,11,4227,3,"萬基大廈/<br>萬基大廈, 窩打老道","万基大厦/<br>万基大厦, 窝打老道","MAN KEE MANSION/<br>Man Kee Mansion, Waterloo Road",07/25/23,103,114.17605,22.32221,KMB+CTB
1008,1,12,4228,3,"何文田街/<br>何文田街, 窩打老道","何文田街/<br>何文田街, 窝打老道","HO MAN TIN STREET/<br>Ho Man Tin Street, Waterloo Road",07/25/23,103,114.17433,22.31992,KMB+CTB
1008,1,13,773,3,"何文田山道/<br>何文田山道, 衛理道","何文田山道/<br>何文田山道, 卫理道","HO MAN TIN HILL ROAD/<br>Ho Man Tin Hill Road, Wylie Road",07/25/23,103,114.17551,22.31477,KMB+CTB
1008,1,14,774,3,"伊利沙伯醫院/<br>伊利沙伯醫院, 衛理道","伊利沙伯医院/<br>伊利沙伯医院, 卫理道","QUEEN ELIZABETH HOSPITAL/<br>Queen Elizabeth Hospital, Wylie Road",07/25/23,103,114.17575,22.31139,KMB+CTB
1008,1,15,775,3,"香港理工大學第八期/<br>香港理工大學第八期, 漆咸道北","香港理工大学第八期/<br>香港理工大学第八期, 漆咸道北","HONG KONG POLYTECHNIC UNIVERSITY PHASE 8/<br>Hong Kong Polytechnic University Phase 8, Chatham Road North",07/25/23,103,114.17942,22.30874,KMB+CTB
1008,1,16,9014,3,紅隧轉車站/<br>海底隧道巴士轉乘站,红隧转车站/<br>海底隧道巴士转乘站,CROSS HARBOUR TUNNEL BBI/<br>Cross Harbour Tunnel Bus-Bus Interchange,07/25/23,103,114.18032,22.30535,KMB+CTB
1008,1,17,3021,3,"百德新街/<br>百德新街, 告士打道","百德新街/<br>百德新街, 告士打道","PATERSON STREET/<br>Paterson Street, Gloucester Road",07/25/23,103,114.18436,22.28484,KMB+CTB
1008,1,18,15,3,"伊利莎伯大廈/<br>伊利莎伯大廈, 告士打道","伊利莎伯大厦/<br>伊利莎伯大厦, 告士打道","ELIZABETH HOUSE/<br>Elizabeth House, Gloucester Road",07/25/23,103,114.18083,22.28343,KMB+CTB
1008,1,19,16,3,"馬師道/<br>馬師道, 告士打道","马师道/<br>马师道, 告士打道","MARSH ROAD/<br>Marsh Road, Gloucester Road",07/25/23,103,114.17902,22.28275,KMB+CTB
1008,1,20,1268,3,"史釗域道/<br>史釗域道, 告士打道","史钊域道/<br>史钊域道, 告士打道","STEWART ROAD/<br>Stewart Road, Gloucester Road",07/25/23,103,114.17669,22.28201,KMB+CTB
1008,1,21,776,3,"柯布連道/<br>柯布連道, 告士打道","柯布连道/<br>柯布连道, 告士打道","O'BRIEN ROAD/<br>O'Brien Road, Gloucester Road",07/25/23,103,114.17284,22.28152,KMB+CTB
1008,1,22,3173,3,"分域街/<br>分域街, 告士打道","分域街/<br>分域街, 告士打道","FENWICK STREET/<br>Fenwick Street, Gloucester Road",07/25/23,103,114.17034,22.28147,KMB+CTB
1008,1,23,616,3,美利道/<br>美利道,美利道/<br>美利道,MURRAY ROAD/<br>Murray Road,07/25/23,103,114.1614,22.28263,KMB+CTB
1008,1,24,244,3,"香港公園/<br>香港公園, 紅棉路","香港公园/<br>香港公园, 红棉路","HONG KONG PARK/<br>Hong Kong Park, Cotton Tree Drive",07/25/23,103,114.15978,22.28003,KMB+CTB
1008,1,25,245,3,"堅麗閣/<br>堅麗閣, 堅尼地道","坚丽阁/<br>坚丽阁, 坚尼地道","KENNEDY HEIGHTS/<br>Kennedy Heights, Kennedy Road",07/25/23,103,114.15689,22.27887,KMB+CTB
1008,1,26,246,3,"明愛中心/<br>明愛中心, 堅道","明爱中心/<br>明爱中心, 坚道","CARITAS CENTRE/<br>Caritas Centre, Caine Road",07/25/23,103,114.15359,22.28178,KMB+CTB
1008,1,27,247,3,"孫中山紀念館/<br>孫中山紀念館, 堅道","孙中山纪念馆/<br>孙中山纪念馆, 坚道","DR SUN YAT-SEN MUSEUM/<br>Dr Sun Yat-sen Museum, Caine Road",07/25/23,103,114.15127,22.28373,KMB+CTB
1008,1,28,248,3,"樓梯街/<br>樓梯街, 堅道","楼梯街/<br>楼梯街, 坚道","LADDER STREET/<br>Ladder Street, Caine Road",07/25/23,103,114.14878,22.28525,KMB+CTB
1008,1,29,249,3,"西摩道/<br>西摩道, 堅道","西摩道/<br>西摩道, 坚道","SEYMOUR ROAD/<br>Seymour Road, Caine Road",07/25/23,103,114.14732,22.28549,KMB+CTB
1008,1,30,265,3,"豫苑/<br>豫苑, 般咸道","豫苑/<br>豫苑, 般咸道","EUSTON COURT/<br>Euston Court, Bonham Road",07/25/23,103,114.14424,22.28718,KMB+CTB
1008,1,31,266,3,"東邊街/<br>東邊街, 般咸道","东边街/<br>东边街, 般咸道","EASTERN STREET/<br>Eastern Street, Bonham Road",07/25/23,103,114.14363,22.28653,KMB+CTB
1008,1,32,380,3,"正街/<br>正街, 般咸道","正街/<br>正街, 般咸道","CENTRE STREET/<br>Centre Street, Bonham Road",07/25/23,103,114.14157,22.28681,KMB+CTB
1008,1,33,381,3,"香港大學東閘/<br>香港大學東閘, 般咸道","香港大学东闸/<br>香港大学东闸, 般咸道","HKU EAST GATE/<br>HKU East Gate, Bonham Road",07/25/23,103,114.13799,22.28645,KMB+CTB
1008,1,34,328,3,"香港大學西閘/<br>香港大學西閘, 薄扶林道","香港大学西闸/<br>香港大学西闸, 薄扶林道","HKU WEST GATE/<br>HKU West Gate, Pok Fu Lam Road",07/25/23,103,114.13501,22.28599,KMB+CTB
1008,1,35,329,3,"何東夫人堂/<br>何東夫人堂, 薄扶林道","何东夫人堂/<br>何东夫人堂, 薄扶林道","LADY HO TUNG HALL/<br>Lady Ho Tung Hall, Pok Fu Lam Road",07/25/23,103,114.13277,22.28611,KMB+CTB
1008,1,36,330,1,蒲飛路巴士總站/<br>蒲飛路,蒲飞路巴士总站/<br>蒲飞路,POKFIELD ROAD BUS TERMINUS/<br>Pokfield Road,07/25/23,103,114.13173,22.28404,KMB+CTB
1008,2,1,330,2,蒲飛路巴士總站/<br>蒲飛路,蒲飞路巴士总站/<br>蒲飞路,POKFIELD ROAD BUS TERMINUS/<br>Pokfield Road,01/07/25,103,114.13173,22.28404,KMB+CTB
1008,2,2,348,3,"蒲飛路/<br>蒲飛路, 薄扶林道","蒲飞路/<br>蒲飞路, 薄扶林道","POKFIELD ROAD/<br>Pokfield Road, Pok Fu Lam Road",01/07/25,103,114.13168,22.28453,KMB+CTB
1008,2,3,349,3,"何東夫人堂/<br>何東夫人堂, 薄扶林道","何东夫人堂/<br>何东夫人堂, 薄扶林道","LADY HO TUNG HALL/<br>Lady Ho Tung Hall, Pok Fu Lam Road",01/07/25,103,114.13236,22.286,KMB+CTB
1008,2,4,3116,3,"香港潮商學校/<br>香港潮商學校, 薄扶林道","香港潮商学校/<br>香港潮商学校, 薄扶林道","CHIU SHEUNG SCHOOL HONG KONG/<br>Chiu Sheung School Hong Kong, Pok Fu Lam Road",01/07/25,103,114.13547,22.28599,KMB+CTB
1008,2,5,377,3,"英皇書院/<br>英皇書院, 般咸道","英皇书院/<br>英皇书院, 般咸道","KING'S COLLEGE/<br>King's College, Bonham Road",01/07/25,103,114.13923,22.28663,KMB+CTB
1008,2,6,378,3,"寧養台/<br>寧養台, 般咸道","宁养台/<br>宁养台, 般咸道","NING YEUNG TERRACE/<br>Ning Yeung Terrace, Bonham Road",01/07/25,103,114.14064,22.28723,KMB+CTB
1008,2,7,673,3,"東邊街/<br>東邊街, 般咸道","东边街/<br>东边街, 般咸道","EASTERN STREET/<br>Eastern Street, Bonham Road",01/07/25,103,114.14286,22.28673,KMB+CTB
1008,2,8,471,3,"高街/<br>高街, 般咸道","高街/<br>高街, 般咸道","HIGH STREET/<br>High Street, Bonham Road",01/07/25,103,114.14505,22.2873,KMB+CTB
1008,2,9,472,3,"醫院道/<br>醫院道, 般咸道","医院道/<br>医院道, 般咸道","HOSPITAL ROAD/<br>Hospital Road, Bonham Road",01/07/25,103,114.14683,22.28601,KMB+CTB
1008,2,10,473,3,"樓梯街/<br>樓梯街, 堅道","楼梯街/<br>楼梯街, 坚道","LADDER STREET/<br>Ladder Street, Caine Road",01/07/25,103,114.14826,22.28551,KMB+CTB
1008,2,11,474,3,"鴨巴甸街/<br>鴨巴甸街, 堅道","鸭巴甸街/<br>鸭巴甸街, 坚道","ABERDEEN STREET/<br>Aberdeen Street, Caine Road",01/07/25,103,114.15026,22.28477,KMB+CTB
1008,2,12,674,3,"明愛中心/<br>明愛中心, 堅道","明爱中心/<br>明爱中心, 坚道","CARITAS CENTRE/<br>Caritas Centre, Caine Road",01/07/25,103,114.15339,22.2825,KMB+CTB
1008,2,13,777,3,"香港禮賓府/<br>香港禮賓府, 上亞厘畢道","香港礼宾府/<br>香港礼宾府, 上亚厘毕道","GOVERNMENT HOUSE/<br>Government House, Upper Albert Road",01/07/25,103,114.15579,22.28113,KMB+CTB
1008,2,14,256,3,"聖約翰座堂/<br>聖約翰座堂, 花園道","圣约翰座堂/<br>圣约翰座堂, 花园道","ST. JOHN'S CATHEDRAL/<br>St. John's Cathedral, Garden Road",01/07/25,103,114.15905,22.28067,KMB+CTB
1008,2,15,8051,3,"金鐘站/<br>金鐘 - 統一中心, 金鐘道","金钟站/<br>金钟 - 统一中心, 金钟道","ADMIRALTY STATION/<br>Admiralty - United Centre, Queensway",01/07/25,103,114.16458,22.28072,KMB+CTB
1008,2,16,131,3,"軍器廠街/<br>軍器廠街, 軒尼詩道","军器厂街/<br>军器厂街, 轩尼诗道","ARSENAL STREET/<br>Arsenal Street, Hennessy Road",01/07/25,103,114.16894,22.2802,KMB+CTB
1008,2,17,8053,3,"柯布連道/<br>柯布連道, 軒尼詩道","柯布连道/<br>柯布连道, 轩尼诗道","O'BRIEN ROAD/<br>O'Brien Road, Hennessy Road",01/07/25,103,114.17202,22.28005,KMB+CTB
1008,2,18,133,3,"史釗域道/<br>史釗域道, 軒尼詩道","史钊域道/<br>史钊域道, 轩尼诗道","STEWART ROAD/<br>Stewart Road, Hennessy Road",01/07/25,103,114.17561,22.28043,KMB+CTB
1008,2,19,3131,3,"杜老誌道/<br>杜老誌道, 軒尼詩道","杜老志道/<br>杜老志道, 轩尼诗道","TONNOCHY ROAD/<br>Tonnochy Road, Hennessy Road",01/07/25,103,114.17792,22.28095,KMB+CTB
1008,2,20,276,3,"灣仔消防局/<br>灣仔消防局, 軒尼詩道","湾仔消防局/<br>湾仔消防局, 轩尼诗道","WAN CHAI FIRE STATION/<br>Wan Chai Fire Station, Hennessy Road",01/07/25,103,114.18093,22.28199,KMB+CTB
1008,2,21,277,3,"百德新街/<br>銅鑼灣 - 百德新街, 怡和街","百德新街/<br>铜锣湾 - 百德新街, 怡和街","PATERSON STREET/<br>Causeway Bay - Paterson Street, Yee Wo Street",01/07/25,103,114.18472,22.28242,KMB+CTB
1008,2,22,137,3,"維多利亞公園/<br>維多利亞公園, 高士威道","维多利亚公园/<br>维多利亚公园, 高士威道","VICTORIA PARK/<br>Victoria Park, Causeway Road",01/07/25,103,114.189,22.28326,KMB+CTB
1008,2,23,297,3,興發街,兴发街,HING FAT STREET/<br>Hing Fat Street,01/07/25,103,114.19048,22.2858,KMB+CTB
1008,2,24,658,3,"景隆街/<br>景隆街, 告士打道","景隆街/<br>景隆街, 告士打道","CANNON STREET/<br>Cannon Street, Gloucester Road",01/07/25,103,114.18238,22.28415,KMB+CTB
1008,2,25,9015,3,紅隧轉車站/<br>海底隧道巴士轉乘站,红隧转车站/<br>海底隧道巴士转乘站,CROSS HARBOUR TUNNEL BBI/<br>Cross Harbour Tunnel Bus-Bus Interchange,01/07/25,103,114.17963,22.30541,KMB+CTB
